----
1212	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/B_B
1213	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:237	Start		TreeLock: [2] for [/Root/A/B_B]
1214	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B_
1215	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/ByB
1216	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:237	End	00:00:00.000000	TreeLock: [2] for [/Root/A/B_B]
1217	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/BxB
1218	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/BxB
1219	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:236	End	00:00:00.000000	TreeLock: [1] for [/Root/A/BxB/C]
1220	2017-10-10 01:14:25.42225	Repository	A:UnitTestAdapter: Running test	T:11				Sending a goodbye message.
1221	2017-10-10 01:14:25.42225	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ClusterChannelMonitor
1222	2017-10-10 01:14:25.42325	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down SnMaintenance
1223	2017-10-10 01:14:25.42325	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down ExchangeSubscriptionService
1224	2017-10-10 01:14:25.42325	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down VoidChannel
1225	2017-10-10 01:14:25.42325	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
1226	2017-10-10 01:14:25.42325	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>1227	2017-10-10 01:14:25.42626	Test	A:UnitTestAdapter: Running test	T:11				END test: TreeLock_TSQL_Underscore
>1228	2017-10-10 01:14:25.43030	Test	A:UnitTestAdapter: Running test	T:11				START test: InMemDb_LoadRootById
1229	2017-10-10 01:14:25.43428	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1230	2017-10-10 01:14:25.43428	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1231	2017-10-10 01:14:25.43428	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
